token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x91D4eBb05d3273bdB74Af69c20B826F9E76Ae542,105.29997215
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bEA65145F19702DA07d8908E994A193b5855A1,97.09422581
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eB8cfD22Aa719529217bFbadE61677e0Ad2,77.47170390
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xEb4E3e9fA819E69e5Df4ea35b9C7973062C96de9,75.36646387
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2Bf034ecCEbc8CD60Dab9c249b6c2996Dcb7D8EC,55.23829609
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28Cd26d85b4ac655A489Aa3f259F81283BD1A804,43.72700932
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x140D3f60AC840571a3e08e218B823094d4715564,41.37760144
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81E51aa103490838Fd9Db1D859a5Fcd8276324,38.04134344
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,37.49534789
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,26.73331099
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cBf20D7393f372D7947338336b5043081871116,24.45702277
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326B0D5Ba05bB1db17298A0283aB1D3269adEB2,22.37551145
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x32aF096d6d479e3d022caAF3603A7306706D10A8,17.69755194
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2A8fe25896fCcE82C49c2Db923aBFA4198Ad3394,15.71871774
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4accdfd779E8FA60A3686030A6Eb36D663399E13,9.47710476
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xEd2AEaEAC44036A35e36cCd7397D44ea70BDd73e,9.11128601
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1426FBd146942e153653863cbe633780c17268DA,7.77502410
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9BAaeE2d451477CF850fE4c0d89bb796B1aD,7.05525201
