ethaddress,seeds
0x9453B4eF4806D718c3ABa920FbE3C07f3D6e6086,0.1080
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,15.4601
0x8F942ECED007bD3976927B7958B50Df126FEeCb5,218.8361
0x66b1De0f14a0ce971F7f248415063D44CAF19398,6.6959
0x4F104B730C517FEB4C4863742D655cF690F85eeE,0.0142
0x6543c99d0e073c140Fd08A741c6cfdcd1449da94,0.0023
0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,32.4484
0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,287.6798
0xd26a3F686D43f2A62BA9eaE2ff77e9f516d945B9,1.5491
0xC0aB27EfB55821ae7b11027a510b8F8eEBfb766D,48.7223
0xEEc76b015DaD397ff8455d4533a26BEa6866D188,21.4713
0xD3e9D60e4E4De615124D5239219F32946d10151D,0.0726
0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,11.6588
0xe8256119a8621a6ba3c42e807b261840bde77944,11.9564
0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,70.8965
0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,20.3367
0x598f44b2d38662ba6a65140eb8dd1cbb2e366bae,1.6523
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,0.2488
0x590D24003D5Ec516502db08E01421ba56a5cd611,0.7712
0x710E2f9D630516d3aFDd053De584F1fa421e84bC,1.3580
0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,72.0160
0x8f2Df304FDf70BB480F1B2Acfb7B57830103d8eB,0.9834
0xf3B1B6e83Be4d55695f1D30ac3D307D9D5CA98ff,0.0022
0xf8049C8425f9eAb4E2AE9E1D950f9D3F71481882,11.8806
0x434DeD09939b64CD76BAA81f9A394283D4C71F05,0.1161
0x8b104344F397aFC33Ee55C743a0FbD7d956201cD,0.1932
0x0230c6dD5DB1d3F871386A3CE1A5a836b2590044,0.1512
0xD595634abf15938Db7C1CA7E8923651434379fAf,13.1754
0xEB22102dB75138F9f5Af6AFf971BB5944D028504,0.0584
0x6D97d65aDfF6771b31671443a6b9512104312d3D,15.8097
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,22.5940
0xC7bF5DA444C923AAA80d77d288e86F3246dd4170,0.0463
0x1a9cEe6E1D21c3C09FB83A980EA54299f01920cd,1.3062
0xE8aDaeA0bA507a28d1309051BecEb4db7Fe377AF,12.3317
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,0.7505
0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,0.8716
0x851fB899dA7F80c211d9B8e5f231FB3BC9eca41a,0.3396
0x54BeCc7560a7Be76d72ED76a1f5fee6C5a2A7Ab6,0.1015
0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,22.0360
0xAC49926b990b3cDc66D3F020989F20a1b51744aD,0.3844
0x91D999f5DC7273df1449e0D02fD70432E7cE9b24,1.4480
0x949Bba9F1C13F2461835366AEBcb53c852dd4308,0.0030
0x9315D886eA870f47E1619743Df8c6e46b3704A42,6.8082
0x78Ec73423B222cB225549bab0d0a812d58808Ffd,177.0235
0x9583648c314CDF666F4F555299dB3B36f5d5b2f9,0.0663
0x1426FBd146942e153653863cbe633780c17268DA,13.3105
0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,3.2110
0x0a8395c74b4048f1a40ea8c11b7e946a5ff93561,11.4009
0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,107.3490
