ethaddress,seeds
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,239.5194
0x8F942ECED007bD3976927B7958B50Df126FEeCb5,1147.1824
0x66b1De0f14a0ce971F7f248415063D44CAF19398,112.2743
0x4F104B730C517FEB4C4863742D655cF690F85eeE,66.1700
0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,78.0965
0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,786.6241
0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,10.4377
0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,158.3226
0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,223.4900
0x598f44b2d38662ba6a65140eb8dd1cbb2e366bae,127.2113
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,384.7089
0x590D24003D5Ec516502db08E01421ba56a5cd611,18.1799
0x710E2f9D630516d3aFDd053De584F1fa421e84bC,130.6759
0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,24.4667
0x8f2Df304FDf70BB480F1B2Acfb7B57830103d8eB,158.7087
0xf8049C8425f9eAb4E2AE9E1D950f9D3F71481882,4.9360
0x434DeD09939b64CD76BAA81f9A394283D4C71F05,5.7043
0x8b104344F397aFC33Ee55C743a0FbD7d956201cD,8.3099
0xD595634abf15938Db7C1CA7E8923651434379fAf,190.7824
0x6D97d65aDfF6771b31671443a6b9512104312d3D,125.1029
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,23.6985
0xC7bF5DA444C923AAA80d77d288e86F3246dd4170,58.6811
0xE8aDaeA0bA507a28d1309051BecEb4db7Fe377AF,20.0584
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,8.2598
0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,9.8202
0x851fB899dA7F80c211d9B8e5f231FB3BC9eca41a,15.1281
0x54BeCc7560a7Be76d72ED76a1f5fee6C5a2A7Ab6,3.8785
0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,39.2346
0xAC49926b990b3cDc66D3F020989F20a1b51744aD,191.5142
0x91D999f5DC7273df1449e0D02fD70432E7cE9b24,166.4309
0x949Bba9F1C13F2461835366AEBcb53c852dd4308,18.4795
0x9315D886eA870f47E1619743Df8c6e46b3704A42,8.3279
0xfF0DcA219a54767eECb5A0ff4382cCb938311Ff8,23.5333
0x9583648c314CDF666F4F555299dB3B36f5d5b2f9,9.1278
0x1426FBd146942e153653863cbe633780c17268DA,9.2061
0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,191.7117
0x069e85D4F1010DD961897dC8C095FBB5FF297434,38.3064
0xb5eb4f91b531b9566C32FDFC23B28e81Bd0314a7,25.0725
0xaD70fE9711b8E12ff806daE5498516FA65f3cD44,11.9750
0xEf8e01eba51B8c93D6801a3A45725619015ea3FF,4.7973
0x0B0eFad4aE088a88fFDC50BCe5Fb63c6936b9220,6.3744
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,10.6307
0x79b92357bB57a449394A877bA673BdC00194E274,5.6825
0x20EFCd9B9ADe8bd586f840c83A6d8dd8C1D6623B,7.4925
0x2920620b47d51170319a531a2d6d5810610e8c2a,11.9781
0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,214.6929
0x8652cb640F8A146bA470972B1cfFEE34E965B847,10.9834
0x59B917a9e10ECe44faE8b651F8C351ef2647dccA,490.0615
