ethaddress,seeds
0x9453B4eF4806D718c3ABa920FbE3C07f3D6e6086,217.3446
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,250.9917
0x8F942ECED007bD3976927B7958B50Df126FEeCb5,146.4438
0x66b1De0f14a0ce971F7f248415063D44CAF19398,2.9036
0x4F104B730C517FEB4C4863742D655cF690F85eeE,2.8210
0x6543c99d0e073c140Fd08A741c6cfdcd1449da94,0.0089
0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,23.0864
0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,563.8740
0xd26a3F686D43f2A62BA9eaE2ff77e9f516d945B9,5.6850
0xD3e9D60e4E4De615124D5239219F32946d10151D,0.0852
0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,38.8240
0xe8256119a8621a6ba3c42e807b261840bde77944,125.0586
0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,15.0361
0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,35.5643
0x598f44b2d38662ba6a65140eb8dd1cbb2e366bae,16.4242
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,0.6261
0x590D24003D5Ec516502db08E01421ba56a5cd611,4.1451
0x710E2f9D630516d3aFDd053De584F1fa421e84bC,1.2889
0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,52.8663
0x8f2Df304FDf70BB480F1B2Acfb7B57830103d8eB,7.5755
0xf3B1B6e83Be4d55695f1D30ac3D307D9D5CA98ff,0.0089
0xf8049C8425f9eAb4E2AE9E1D950f9D3F71481882,15.6013
0x434DeD09939b64CD76BAA81f9A394283D4C71F05,0.3415
0x8b104344F397aFC33Ee55C743a0FbD7d956201cD,0.4972
0x0230c6dD5DB1d3F871386A3CE1A5a836b2590044,0.3777
0xD595634abf15938Db7C1CA7E8923651434379fAf,42.1018
0xEB22102dB75138F9f5Af6AFf971BB5944D028504,0.0851
0x6D97d65aDfF6771b31671443a6b9512104312d3D,12.8399
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,30.1070
0xC7bF5DA444C923AAA80d77d288e86F3246dd4170,0.0220
0x1a9cEe6E1D21c3C09FB83A980EA54299f01920cd,5.9488
0xE8aDaeA0bA507a28d1309051BecEb4db7Fe377AF,15.2277
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,0.0000
0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,1.8448
0x851fB899dA7F80c211d9B8e5f231FB3BC9eca41a,0.0008
0x54BeCc7560a7Be76d72ED76a1f5fee6C5a2A7Ab6,0.3846
0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,37.5716
0xAC49926b990b3cDc66D3F020989F20a1b51744aD,1.1425
0x91D999f5DC7273df1449e0D02fD70432E7cE9b24,0.7829
0x949Bba9F1C13F2461835366AEBcb53c852dd4308,0.0026
0x9315D886eA870f47E1619743Df8c6e46b3704A42,4.8707
0x78Ec73423B222cB225549bab0d0a812d58808Ffd,141.7460
0x9583648c314CDF666F4F555299dB3B36f5d5b2f9,0.0788
0x1426FBd146942e153653863cbe633780c17268DA,10.1766
0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,11.3740
0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,119.4237
0x069e85D4F1010DD961897dC8C095FBB5FF297434,0.4957
0xb5eb4f91b531b9566C32FDFC23B28e81Bd0314a7,0.0050
0xaD70fE9711b8E12ff806daE5498516FA65f3cD44,3.2350
0x0B0eFad4aE088a88fFDC50BCe5Fb63c6936b9220,0.2646
0xced20757aEaB2d2C8825a5CE47Fa52edA1410dC5,2.2332
0x6ED7F81208839E31E11840049201201C469a7A56,1.5428
0x85a363699c6864248a6ffca66e4a1a5ccf9f5567,29.2995
0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441,0.0000
0xA68E0b444E7F5242e48Cea2447FcE03Cb7B8AD16,47.9715
0x59F68354aD2d495d7C349C63cc80EC2683ab8b22,4.5758
0x4B037687c1C5159285A7DefAD3681f8e123D2478,14.8469
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,4.0483
0x79b92357bB57a449394A877bA673BdC00194E274,0.0082
0xce3696f3b57db19e5ebe014aa2d5636e87f9f22d,38.9799
0x4146A7157Df361A3e82f23811ed56056383555c7,75.2701
0x20EFCd9B9ADe8bd586f840c83A6d8dd8C1D6623B,9.0080
0x164bA6d1E6DD5F937908C34137D271ea3852C214,0.0000
0x2920620b47d51170319a531a2d6d5810610e8c2a,1.2974
0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,6.1408
0x2420be5214E8C83F04F0EF1772254355e2249283,7.4296
0x8652cb640F8A146bA470972B1cfFEE34E965B847,0.0193
0xeE03446E9654697685E82BcafeE1e3cB0Aa6f315,20.5073
0x0be0ecc301a1c0175f07a66243cff628c24db852,9.5176
0x1E2058Ca360F4EfD61B8f36a38d77D40155e9427,2.1241
0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,15.0707
0xD5823AB44Db9a0659027f0FEA428534B9C13015B,0.0000
0x9Eee6B4683340EfDF05589466e24f69C017BF64e,0.0000
0x6Bc842966e4dE1733644905f8F0b10Ad4AA0C000,0.0000
0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0,0.0000
0xe3fD0c0704A7002056eA10332825CB72094495A8,0.0000
0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,15.4224
0xaD7E79A81296aCFdBE8C41804f8348908C23EaBE,0.0000
0x59B917a9e10ECe44faE8b651F8C351ef2647dccA,128.3341
0xdab19c416355783011724a9c0e4e1e98c648214f,440.8207
